Date,Open,High,Low,Close,Adj Close,Volume
2015-02-23,272.600006,273.200012,266.399994,270.299988,216.994797,4134393
2015-02-24,271.600006,271.600006,266.850006,270.000000,216.753952,3554964
2015-02-25,270.000000,272.820007,268.399994,271.700012,218.118729,6261721
2015-02-26,272.000000,275.799988,270.899994,275.100006,220.848206,6614019
2015-02-27,275.700012,276.299988,270.700012,271.899994,218.279236,5905313
2015-03-02,272.000000,273.299988,267.100006,272.000000,218.359543,8450051
2015-03-03,272.000000,278.399994,270.600006,273.700012,219.724274,6855805
2015-03-04,274.100006,275.200012,270.890015,272.000000,218.359543,4934265
2015-03-05,274.299988,277.299988,272.000000,276.500000,221.972092,12416812
2015-03-06,277.299988,280.399994,275.899994,276.600006,222.052383,8004103
2015-03-09,276.200012,277.899994,274.399994,275.500000,221.169296,7200867
2015-03-10,275.000000,276.549988,265.399994,265.899994,213.462509,12214533
2015-03-11,266.100006,266.299988,259.600006,264.500000,212.338593,11650253
2015-03-12,265.799988,271.000000,262.899994,263.700012,211.696381,9272648
2015-03-13,264.000000,266.299988,256.899994,259.100006,208.003510,9050811
2015-03-16,259.799988,270.700012,255.399994,268.600006,215.630035,13254478
2015-03-17,275.000000,275.500000,264.700012,266.399994,213.863876,18474895
2015-03-18,266.700012,271.000000,263.100006,270.600006,217.235626,8288101
2015-03-19,271.000000,273.600006,269.299988,270.000000,216.753952,7083924
2015-03-20,270.700012,272.600006,268.299988,272.100006,218.439850,19322478
2015-03-23,272.399994,273.799988,270.299988,272.899994,219.082031,6980534
2015-03-24,273.100006,273.799988,270.721985,272.399994,218.680679,5092996
2015-03-25,272.799988,272.799988,267.500000,268.200012,215.308945,5512620
2015-03-26,266.399994,267.700012,263.100006,264.399994,212.258316,7876817
2015-03-27,265.600006,265.600006,258.899994,262.500000,210.733032,5750606
2015-03-30,264.700012,265.500000,261.399994,261.799988,210.171051,5224026
2015-03-31,262.200012,265.100006,259.000000,259.200012,208.083801,8413335
